tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
400,416,121,295,71,4.154929577464789,206,88,49.51923076923077,21.153846153846153,54.56730769230769,620.5014148351656,0.19532918678532596,3.8586172460060375,4.448110641027371,0.5894933950213339,1.9685347833935987,3.3349713355463315,3.2931503769167207,3.097821190131395,0,500,250,100,0.005,,,0.05,
450,570,132,438,113,3.8761061946902653,323,114,56.666666666666664,20.0,61.05263157894737,596.9291478696745,-0.23376406356494694,4.294951139750196,4.748911801634718,0.453960661884523,3.489451889113069,3.9493570856659947,3.628489765178146,3.8622538287430928,0,500,250,100,0.005,,,0.05,
0,100,52,48,17,2.823529411764706,42,6,42.0,6.0,68.0,2.4590000000000005,1.8584935897435904,2.56904761904762,3.7465476190476203,1.1775000000000002,0.99,2.1438461538461544,3.425416666666667,1.5669230769230766,1,500,250,100,0.005,,,0.05,
50,62,21,41,12,3.4166666666666665,37,4,59.67741935483871,6.451612903225806,72.58064516129032,198.2690322580644,0.6031586618387141,3.7871952835188076,4.470577636459985,0.6833823529411771,2.6713725490196083,4.006591251885372,4.101095169775223,3.497936507936509,1,500,250,100,0.005,,,0.05,
100,83,27,56,16,3.5,49,7,59.036144578313255,8.433734939759036,69.87951807228916,286.38072289156605,-0.2986194428266429,3.064652989908829,3.3384885835522273,0.27383559364339843,2.679768976897692,3.5411551155115553,2.9554069598136237,3.2540264026402665,1,500,250,100,0.005,,,0.05,
150,110,35,75,23,3.260869565217391,68,7,61.81818181818182,6.363636363636363,73.63636363636364,392.2160909090909,0.4805576050357345,4.061941330497359,4.276096398071567,0.21415506757420716,2.9714735879068916,3.6793496712351454,3.896981873891814,3.4164242688560793,1,500,250,100,0.005,,,0.05,
200,122,40,82,26,3.1538461538461537,74,8,60.65573770491803,6.557377049180328,70.49180327868852,513.8568852459018,0.4234128826400281,3.500512403983881,3.859722935085607,0.3592105311017258,3.206239322860012,3.047035500458365,3.5182095298188876,3.0947966471788595,1,500,250,100,0.005,,,0.05,
250,187,48,139,43,3.2325581395348837,122,17,65.24064171122994,9.090909090909092,73.2620320855615,497.52406417112337,0.13326818231635595,3.2775211035161718,4.096215179465612,0.8186940759494403,2.7929623615058707,3.9117066973557653,3.6953672747190294,3.5620990924026734,1,500,250,100,0.005,,,0.05,
300,200,55,145,45,3.2222222222222223,121,24,60.5,12.0,68.0,621.3281250000006,0.4334432148905236,3.5529024597336516,4.098263693287165,0.5453612335535133,2.5169233404423195,3.2866903108453003,3.5101970792622845,3.076753864371761,1,500,250,100,0.005,,,0.05,
350,323,74,249,78,3.1923076923076925,219,30,67.80185758513932,9.287925696594428,73.9938080495356,550.0070433436535,0.34332162173701475,3.4685047985070456,4.23292086104346,0.7644160625364143,2.4488995204393875,3.8505247150815682,3.8150287166450205,3.4717070949080058,1,500,250,100,0.005,,,0.05,
