tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period
450,1829,16,1813,451,4.019955654101995,1766,47,96.55549480590487,2.569710224166211,96.55549480590487,34.246066156369544,0.11289553036961594,0.1440990644542633,0.31663113766655654,0.17253207321229325,0.0,0.20000000000000165,0.3128955303696176,0.20000000000000165,0,500,250,100,0.005,
0,100,62,38,13,2.923076923076923,38,0,38.0,0.0,73.0,0.23125,0.1321095076400681,0.31315789473684225,0.31315789473684225,0.0,0.175,0.1888888888888889,0.31315789473684225,0.18104838709677415,1,500,250,100,0.005,
50,109,51,58,19,3.0526315789473686,56,2,51.37614678899082,1.834862385321101,75.22935779816514,11.08761467889908,0.12498309668695076,0.14046393557422976,0.31217962184873954,0.17171568627450978,0.17499999999999996,0.18999999999999997,0.3073360378634213,0.18235294117647052,1,500,250,100,0.005,
100,134,51,83,27,3.074074074074074,81,2,60.44776119402985,1.492537313432836,79.85074626865672,20.365671641791053,0.1632273999901761,0.17649156582324865,0.3498331499816648,0.17334158415841616,0.17500000000000038,0.18999999999999986,0.34558034116664677,0.18235294117647066,1,500,250,100,0.005,
150,156,50,106,36,2.9444444444444446,104,2,66.66666666666667,1.2820512820512822,82.6923076923077,30.65913461538462,0.17384098150693464,0.18595891174223078,0.3598496402190524,0.17389072847682163,0.17500000000000046,0.1899999999999999,0.35634098150693483,0.1825000000000002,1,500,250,100,0.005,
200,216,52,164,56,2.9285714285714284,159,5,73.61111111111111,2.314814814814815,84.25925925925925,33.826041666666654,0.1727856525300323,0.1981591805125314,0.34496515066178524,0.14680597014925384,0.1750000000000002,0.15910962429233158,0.33892371223152506,0.16613805970149276,1,500,250,100,0.005,
250,292,51,241,84,2.869047619047619,235,6,80.47945205479452,2.0547945205479454,88.01369863013699,38.83964041095887,0.1973910840018718,0.21308838130188418,0.3719251554175428,0.1588367741156586,0.17499999999999966,0.16485094106333334,0.36662005048886515,0.16922896648699334,1,500,250,100,0.005,
300,418,43,375,129,2.9069767441860463,359,16,85.88516746411483,3.827751196172249,90.66985645933015,41.36224082934605,0.1890884171012114,0.252860122590998,0.37710805130598113,0.12424792871498314,0.1749999999999992,0.17917087967644166,0.3663193527420985,0.17723093564088707,1,500,250,100,0.005,
350,609,38,571,196,2.913265306122449,548,23,89.98357963875205,3.7766830870279144,92.44663382594418,42.643842364531984,0.20675443739524244,0.2727309425663353,0.3949870275102591,0.12225608494392383,0.1749999999999989,0.17871231984410754,0.38400136782720184,0.1772469304319594,1,500,250,100,0.005,
400,924,22,902,308,2.9285714285714284,868,34,93.93939393939394,3.6796536796536796,94.58874458874459,42.700162337662306,0.1804488493478674,0.2405417865940443,0.3826976528336746,0.14215586623963028,0.17499999999999868,0.2000000000000014,0.3736306675296862,0.19318181818181882,1,500,250,100,0.005,
450,1396,16,1380,467,2.955032119914347,1343,37,96.20343839541547,2.650429799426934,96.20343839541547,43.20245940783188,0.1811392359214129,0.2459200226849062,0.38773274377600975,0.14181272109110354,0.0,0.2000000000000015,0.3811392359214144,0.2000000000000015,1,500,250,100,0.005,
0,100,56,44,15,2.933333333333333,43,1,43.0,1.0,73.0,0.21600000000000003,0.07897727272727276,0.08720930232558141,0.26220930232558143,0.17500000000000002,0.17499999999999996,0.18846153846153849,0.2602272727272728,0.18125000000000005,2,500,250,100,0.005,
50,120,47,73,23,3.1739130434782608,71,2,59.166666666666664,1.6666666666666667,77.5,9.963333333333336,0.08509952509129581,0.09515327257663642,0.2701532725766364,0.175,0.17499999999999993,0.18899999999999995,0.2675463336019341,0.18244680851063827,2,500,250,100,0.005,
100,128,47,81,25,3.24,79,2,61.71875,1.5625,78.90625,21.40156250000002,0.11264853435698194,0.12313573129464844,0.29813573129464876,0.17500000000000032,0.1750000000000003,0.18899999999999992,0.29509534286762035,0.1824468085106384,2,500,250,100,0.005,
150,168,47,121,35,3.4571428571428573,119,2,70.83333333333333,1.1904761904761905,83.92857142857143,28.757738095238103,0.1349920289914139,0.1448327675441031,0.31983276754410356,0.17500000000000046,0.1750000000000004,0.18899999999999995,0.3174388375020524,0.18244680851063846,2,500,250,100,0.005,
200,251,49,202,57,3.543859649122807,195,7,77.68924302788845,2.7888446215139444,86.45418326693228,30.318824701195204,0.1615777196056489,0.20128205128205093,0.33648105625717545,0.13519900497512452,0.17500000000000024,0.16216602174313627,0.32950593566819353,0.16792821606254463,2,500,250,100,0.005,
250,363,46,317,86,3.686046511627907,309,8,85.12396694214875,2.203856749311295,90.35812672176309,33.76067493112942,0.16356136435073157,0.1882106686522515,0.3387944446593344,0.1505837760070829,0.17499999999999963,0.16730485465545275,0.33404464860501887,0.1704832842542873,2,500,250,100,0.005,
300,552,32,520,135,3.8518518518518516,506,14,91.66666666666667,2.536231884057971,93.29710144927536,34.9089855072463,0.15408189242685758,0.1753247083917112,0.33311176606065984,0.15778705766894865,0.17499999999999918,0.17403943377148715,0.32839148545011376,0.1743095930232562,2,500,250,100,0.005,
350,859,15,844,214,3.94392523364486,815,29,94.8777648428405,3.3760186263096625,94.9941792782305,35.24540162980201,0.11874496888808753,0.1796415854273853,0.32325082115198384,0.14360923572459855,0.1749999999999989,0.20000000000000137,0.3170783022214221,0.19833333333333455,2,500,250,100,0.005,
400,1361,15,1346,337,3.99406528189911,1309,37,96.17927994121969,2.718589272593681,96.25275532696547,35.07978814597102,0.12272427296203764,0.18488953777814288,0.32614000815108646,0.14125047037294358,0.17499999999999868,0.20000000000000148,0.3210576062953723,0.19833333333333464,2,500,250,100,0.005,
450,2159,14,2145,534,4.01685393258427,2098,47,97.17461787864752,2.176933765632237,97.17461787864752,35.20046008954756,0.12470601678477886,0.18634000328640996,0.32878899121576477,0.14244898792935481,0.0,0.2000000000000016,0.32470601678478045,0.2000000000000016,2,500,250,100,0.005,
