single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.4167,2.2596,8,6,20,0.5333977041760082
0.4167,2.6036,8,6,20,0.5602888912989008
0.4167,3.0,8,6,20,0.5900730770295989
0.4583,0.1,9,5,19,0.7593062249942862
0.4583,0.1152,9,5,19,0.684201537826073
0.4583,0.1328,9,5,19,0.7540703334057444
0.4583,0.153,9,5,19,0.673429259598498
0.4583,0.1763,9,5,19,0.7175805700967212
0.4583,0.2031,9,5,19,0.6804868349803709
0.4583,0.234,9,5,19,0.6749028885189404
0.4583,0.2697,9,5,19,0.6651571457379081
0.4583,0.3107,9,5,19,0.6009765740620914
0.4583,0.358,9,5,19,0.5951909234960672
0.4583,0.4125,9,5,19,0.550689824787729
0.4583,0.4754,9,5,19,0.529191129564626
0.4583,0.5477,9,5,19,0.5581396778942397
0.4583,0.6311,9,5,19,0.4970651141520386
0.4583,0.7272,9,5,19,0.5591279407306328
0.4583,0.8379,9,5,19,0.5357488317494452
0.4583,0.9655,9,5,19,0.4924458660550968
0.4583,1.1125,9,5,19,0.5103225724856726
0.4583,1.2819,9,5,19,0.4992916145886536
0.4583,1.477,9,5,19,0.5917311774559852
0.4583,1.7019,9,5,19,0.5682978074946
0.4583,1.961,9,5,19,0.5336377284977049
0.4583,2.2596,9,5,19,0.5222337709830037
0.4583,2.6036,9,5,19,0.5496552183150475
0.4583,3.0,9,5,19,0.550247417494444
0.5,0.1,10,5,20,0.7712399401891993
0.5,0.1152,10,5,20,0.7059546163448936
0.5,0.1328,10,5,20,0.7788218565393842
0.5,0.153,10,5,20,0.6541189375479188
0.5,0.1763,10,5,20,0.6691473774893572
0.5,0.2031,10,5,20,0.6620476483054621
0.5,0.234,10,5,20,0.6786138507309317
0.5,0.2697,10,5,20,0.6767122133960338
0.5,0.3107,10,5,20,0.5762182815842646
0.5,0.358,10,5,20,0.5792002816819647
0.5,0.4125,10,5,20,0.5720341043554374
0.5,0.4754,10,5,20,0.5200965969911993
0.5,0.5477,10,5,20,0.5763163892389312
0.5,0.6311,10,5,20,0.5108622316040858
0.5,0.7272,10,5,20,0.5938023967183189
0.5,0.8379,10,5,20,0.5264514545811617
0.5,0.9655,10,5,20,0.563864030435845
0.5,1.1125,10,5,20,0.5323988196027603
0.5,1.2819,10,5,20,0.5137574230581016
0.5,1.477,10,5,20,0.5667522700054123
0.5,1.7019,10,5,20,0.5693422874742309
0.5,1.961,10,5,20,0.5218334404268162
0.5,2.2596,10,5,20,0.5031863584474886
0.5,2.6036,10,5,20,0.5448985210731062
0.5,3.0,10,5,20,0.5568249198893358
0.5417,0.1,11,4,19,0.8092375804803056
0.5417,0.1152,11,4,19,0.7253436912844052
0.5417,0.1328,11,4,19,0.6770208216994513
0.5417,0.153,11,4,19,0.6730790982810554
0.5417,0.1763,11,4,19,0.5996059298512572
0.5417,0.2031,11,4,19,0.6631534744731687
0.5417,0.234,11,4,19,0.623170027590468
0.5417,0.2697,11,4,19,0.6232133061190422
0.5417,0.3107,11,4,19,0.5763378465506125
0.5417,0.358,11,4,19,0.6177892806980896
0.5417,0.4125,11,4,19,0.5445440112099764
0.5417,0.4754,11,4,19,0.5660079183188427
0.5417,0.5477,11,4,19,0.5424224207755391
0.5417,0.6311,11,4,19,0.5558100516281183
