cell_id,genome,op,is_cooperator,is_defector,has_adhesion,cluster_id,type,fitness,age,x,y,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
7584,11101010,NAND,0,1,1,2284,defector,36.575,209,59.177,115.222,2,500,250,100,0.3,,,,
7585,00100000,AND,0,1,1,2284,defector,36.575,209,67.17,112.541,2,500,250,100,0.3,,,,
7586,11100000,NAND,0,1,1,2284,defector,36.575,209,45.461,100.959,2,500,250,100,0.3,,,,
7587,00100010,AND,0,1,1,2284,defector,36.575,209,57.95,100.82,2,500,250,100,0.3,,,,
7588,00110100,AND,1,0,1,2284,cooperator,36.575,209,59.784,90.222,2,500,250,100,0.3,,,,
7589,10000011,XOR,0,0,0,-1,lone,13.2,206,219.742,1.175,2,500,250,100,0.3,,,,
7590,01101111,OR,0,1,1,2285,defector,35.875,205,2.691,62.385,2,500,250,100,0.3,,,,
7591,11100001,NAND,0,1,1,2287,defector,35.0,200,158.637,187.508,2,500,250,100,0.3,,,,
7592,11100100,NAND,0,1,1,2287,defector,35.0,200,133.023,208.654,2,500,250,100,0.3,,,,
7593,00111100,AND,1,0,1,2287,cooperator,35.0,200,138.741,172.156,2,500,250,100,0.3,,,,
7594,00000010,AND,0,0,0,2287,defector,40.0,200,142.0,159.49,2,500,250,100,0.3,,,,
7596,00110100,AND,1,0,1,2289,cooperator,34.3,196,110.275,14.752,2,500,250,100,0.3,,,,
7597,00010000,AND,1,0,1,2288,cooperator,34.3,196,226.35,248.649,2,500,250,100,0.3,,,,
7598,11010001,NAND,1,0,1,2288,cooperator,34.3,196,148.726,248.242,2,500,250,100,0.3,,,,
7599,10100100,XOR,0,1,1,2288,defector,34.3,196,156.152,221.839,2,500,250,100,0.3,,,,
7600,10001111,XOR,0,0,0,-1,lone,38.8,194,91.042,0.414,2,500,250,100,0.3,,,,
7601,11000110,NAND,0,0,0,-1,lone,10.8,194,248.039,72.754,2,500,250,100,0.3,,,,
7602,10100000,XOR,0,1,1,-1,lone,5.25,190,175.955,1.386,2,500,250,100,0.3,,,,
7603,11100000,NAND,0,1,1,2290,defector,32.375,185,148.673,39.713,2,500,250,100,0.3,,,,
7604,10111100,XOR,1,0,1,2290,cooperator,32.375,185,144.808,52.15,2,500,250,100,0.3,,,,
7605,01100000,OR,0,1,1,2290,defector,32.375,185,121.921,34.9,2,500,250,100,0.3,,,,
7606,10010010,XOR,1,0,1,2290,cooperator,32.375,185,134.088,40.27,2,500,250,100,0.3,,,,
7607,11001111,NAND,0,0,0,-1,lone,36.6,183,30.722,247.992,2,500,250,100,0.3,,,,
7608,00010101,AND,1,0,1,2256,cooperator,35.85,182,134.033,222.371,2,500,250,100,0.3,,,,
7609,00101010,AND,0,1,1,2291,defector,31.325,179,246.69,249.46,2,500,250,100,0.3,,,,
7610,01000100,OR,0,0,0,-1,lone,7.8,179,126.865,139.396,2,500,250,100,0.3,,,,
7611,10101001,XOR,0,1,1,2272,defector,30.975,177,213.655,77.545,2,500,250,100,0.3,,,,
7612,10000110,XOR,0,0,0,-1,lone,7.0,175,123.555,247.461,2,500,250,100,0.3,,,,
7613,01001001,OR,0,0,0,-1,lone,6.2,171,124.607,110.565,2,500,250,100,0.3,,,,
7614,10000000,XOR,0,0,0,-1,lone,6.0,170,229.142,29.18,2,500,250,100,0.3,,,,
