mutation_rate,task_flip_period,multicellular_pct
5.156692688606229e-06,130,0.13484742064255026
5.156692688606229e-06,158,0.09329182109775674
5.156692688606229e-06,191,0.09997054889310984
5.156692688606229e-06,232,0.16480629114202555
5.156692688606229e-06,281,0.06267747623844377
5.156692688606229e-06,340,0.05867056677782249
5.156692688606229e-06,412,0.053659965309791724
5.156692688606229e-06,499,0.047123476961498434
8.908987181403398e-06,5,0.03505555009196982
8.908987181403398e-06,6,0.034490748633445596
8.908987181403398e-06,7,0.03867429289086614
8.908987181403398e-06,8,0.044145218631071535
8.908987181403398e-06,10,0.04505152514784392
8.908987181403398e-06,13,0.05258617262330976
8.908987181403398e-06,15,0.06046769846118357
8.908987181403398e-06,19,0.06186681898991442
8.908987181403398e-06,23,0.07736516521603194
8.908987181403398e-06,28,0.08558409991776945
8.908987181403398e-06,34,0.10320759665837642
8.908987181403398e-06,41,0.11686969947567692
8.908987181403398e-06,49,0.16031302919731297
8.908987181403398e-06,60,0.08064319819434534
8.908987181403398e-06,73,0.09385841240704694
8.908987181403398e-06,88,0.10880167334804093
8.908987181403398e-06,107,0.14389236887398102
8.908987181403398e-06,130,0.130731104403817
8.908987181403398e-06,158,0.06925153802045074
8.908987181403398e-06,191,0.07776398089392467
8.908987181403398e-06,232,0.11176823372201217
8.908987181403398e-06,281,0.07581451928200146
8.908987181403398e-06,340,0.08144461956807678
8.908987181403398e-06,412,0.053094782497153624
8.908987181403398e-06,499,0.046667264540542756
1.539165845073121e-05,5,0.03889291947400055
1.539165845073121e-05,6,0.03516840898267896
1.539165845073121e-05,7,0.037518891812639434
1.539165845073121e-05,8,0.040119154543167425
1.539165845073121e-05,10,0.0543216998416051
1.539165845073121e-05,13,0.048770596700429124
1.539165845073121e-05,15,0.060534419953312775
1.539165845073121e-05,19,0.06656416500269577
1.539165845073121e-05,23,0.09326232909199496
1.539165845073121e-05,28,0.09248909279049596
1.539165845073121e-05,34,0.10616101989914632
1.539165845073121e-05,41,0.1443409914367206
1.539165845073121e-05,49,0.20563119582312006
1.539165845073121e-05,60,0.08683415615821392
1.539165845073121e-05,73,0.0986097820674185
1.539165845073121e-05,88,0.10779077148043605
1.539165845073121e-05,107,0.08634974450883322
1.539165845073121e-05,130,0.08981996235064198
1.539165845073121e-05,158,0.07204612109032953
1.539165845073121e-05,191,0.15533998512681854
1.539165845073121e-05,232,0.06803548538416913
1.539165845073121e-05,281,0.08109699302246463
1.539165845073121e-05,340,0.09795535091440706
1.539165845073121e-05,412,0.06533823668348347
1.539165845073121e-05,499,0.04295423727803912
2.659147948472494e-05,5,0.03654101787920045
2.659147948472494e-05,6,0.034952780998680495
2.659147948472494e-05,7,0.03557582584744772
2.659147948472494e-05,8,0.03452613744626797
2.659147948472494e-05,10,0.04585625930729861
2.659147948472494e-05,13,0.04450738240800265
2.659147948472494e-05,15,0.059903619480925964
2.659147948472494e-05,19,0.06216661448491353
2.659147948472494e-05,23,0.0778120913710655
2.659147948472494e-05,28,0.07565941349909291
2.659147948472494e-05,34,0.11404093489725496
2.659147948472494e-05,41,0.1383754202729985
2.659147948472494e-05,49,0.14774314210409561
2.659147948472494e-05,60,0.09235180228237795
2.659147948472494e-05,73,0.14368158992929078
2.659147948472494e-05,88,0.09450688749048251
2.659147948472494e-05,107,0.09046296960021939
2.659147948472494e-05,130,0.15370582867999275
2.659147948472494e-05,158,0.05462410150762768
2.659147948472494e-05,191,0.072741264081003
2.659147948472494e-05,232,0.09727603786317048
2.659147948472494e-05,281,0.056239308754346656
2.659147948472494e-05,340,0.06459167544460971
2.659147948472494e-05,412,0.06936479392610205
2.659147948472494e-05,499,0.04790302030147157
4.5940909061229434e-05,5,0.03879791217537127
4.5940909061229434e-05,6,0.03133397473450021
4.5940909061229434e-05,7,0.04146125752451665
4.5940909061229434e-05,8,0.041926861110485214
4.5940909061229434e-05,10,0.0516662259606677
4.5940909061229434e-05,13,0.05097136157375981
4.5940909061229434e-05,15,0.05211187902530188
4.5940909061229434e-05,19,0.0677249438926673
4.5940909061229434e-05,23,0.08109966859921502
4.5940909061229434e-05,28,0.08014030389817674
4.5940909061229434e-05,34,0.10004468701877862
4.5940909061229434e-05,41,0.11547062195350145
4.5940909061229434e-05,49,0.1434627564969985
4.5940909061229434e-05,60,0.13112868795916152
4.5940909061229434e-05,73,0.10024062898268649
4.5940909061229434e-05,88,0.0698901444864572
4.5940909061229434e-05,107,0.10562344706494742
4.5940909061229434e-05,130,0.0850362867127503
4.5940909061229434e-05,158,0.11973007022666322
4.5940909061229434e-05,191,0.07184549179908808
4.5940909061229434e-05,232,0.06353862370028053
4.5940909061229434e-05,281,0.07414845006595959
4.5940909061229434e-05,340,0.0719607385577639
4.5940909061229434e-05,412,0.05664336254132237
4.5940909061229434e-05,499,0.0463733276019724
7.937005259840992e-05,5,0.03526766841814009
7.937005259840992e-05,6,0.03171000439174651
7.937005259840992e-05,7,0.03861572205695526
7.937005259840992e-05,8,0.043556238588559525
7.937005259840992e-05,10,0.04481375475325446
7.937005259840992e-05,13,0.053938593117536925
7.937005259840992e-05,15,0.05823659803592914
7.937005259840992e-05,19,0.06451544901111718
7.937005259840992e-05,23,0.08577399596304397
7.937005259840992e-05,28,0.07818297320301533
7.937005259840992e-05,34,0.09868604766630855
7.937005259840992e-05,41,0.1464868232883218
7.937005259840992e-05,49,0.20665556749121586
7.937005259840992e-05,60,0.07809798701307798
7.937005259840992e-05,73,0.07004618569835962
7.937005259840992e-05,88,0.1044378755702639
7.937005259840992e-05,107,0.07723129006701344
7.937005259840992e-05,130,0.10452125985349957
7.937005259840992e-05,158,0.07581542598973552
7.937005259840992e-05,191,0.0900301079905408
7.937005259840992e-05,232,0.06756922696321355
7.937005259840992e-05,281,0.07718715936271252
7.937005259840992e-05,340,0.10524861669572556
7.937005259840992e-05,412,0.05735810685356164
7.937005259840992e-05,499,0.04702699936599137
0.00013712408783810365,5,0.03503888198917029
0.00013712408783810365,6,0.033523128601157325
0.00013712408783810365,7,0.037964836060619664
0.00013712408783810365,8,0.03799726487372072
0.00013712408783810365,10,0.04670293640844575
0.00013712408783810365,13,0.04419436549884299
0.00013712408783810365,15,0.07199556165893835
0.00013712408783810365,19,0.06917135779714785
0.00013712408783810365,23,0.10420187366946308
0.00013712408783810365,28,0.07766306145199979
0.00013712408783810365,34,0.10243069875175764
0.00013712408783810365,41,0.142462054814996
0.00013712408783810365,49,0.1484550061960203
0.00013712408783810365,60,0.09226664316818423
0.00013712408783810365,73,0.10124428537772212
0.00013712408783810365,88,0.09093072927324493
0.00013712408783810365,107,0.10179375596549833
0.00013712408783810365,130,0.11050062043200058
0.00013712408783810365,158,0.07883059107259541
0.00013712408783810365,191,0.10825203193464356
0.00013712408783810365,232,0.07952311550293643
0.00013712408783810365,281,0.06981549001150006
0.00013712408783810365,340,0.07039883721642907
0.00013712408783810365,412,0.05243420722220968
0.00013712408783810365,499,0.04551071640402846
0.00023690314986396572,5,0.034804182806444615
0.00023690314986396572,6,0.0338592261167583
0.00023690314986396572,7,0.033110780421108606
0.00023690314986396572,8,0.03960324070410249
0.00023690314986396572,10,0.05065116894393006
0.00023690314986396572,13,0.05408948621918919
0.00023690314986396572,15,0.06741362197602871
0.00023690314986396572,19,0.07655817212617956
0.00023690314986396572,23,0.08322185112276966
0.00023690314986396572,28,0.08282349547495484
0.00023690314986396572,34,0.13545250380208354
0.00023690314986396572,41,0.11171810883586582
0.00023690314986396572,49,0.17010668427615452
0.00023690314986396572,60,0.07086383752291235
0.00023690314986396572,73,0.10619344082320892
0.00023690314986396572,88,0.11665261972773903
0.00023690314986396572,107,0.10249481402400312
0.00023690314986396572,130,0.1096459420939732
0.00023690314986396572,158,0.09182692036515162
0.00023690314986396572,191,0.09026415075295213
0.00023690314986396572,232,0.10194251598613464
0.00023690314986396572,281,0.07844894483728017
0.00023690314986396572,340,0.06984512828161434
0.00023690314986396572,412,0.06146013279594925
0.00023690314986396572,499,0.04742245442744669
0.00040928696992851226,5,0.03517713571218793
0.00040928696992851226,6,0.03568852023149093
0.00040928696992851226,7,0.03761117840556969
0.00040928696992851226,8,0.04074219674976542
0.00040928696992851226,10,0.048446447397683716
0.00040928696992851226,13,0.055575154398046715
0.00040928696992851226,15,0.04599034380181318
0.00040928696992851226,19,0.07961353831778978
0.00040928696992851226,23,0.08329152195207103
0.00040928696992851226,28,0.0934113478263016
0.00040928696992851226,34,0.10358152330310737
0.00040928696992851226,41,0.11215147295797491
0.00040928696992851226,49,0.18451631120188824
0.00040928696992851226,60,0.09176915326800344
0.00040928696992851226,73,0.0813014793997706
0.00040928696992851226,88,0.10387853765315018
0.00040928696992851226,107,0.19108843239559495
0.00040928696992851226,130,0.17997084750687753
0.00040928696992851226,158,0.07415620091762432
0.00040928696992851226,191,0.09496560663277465
0.00040928696992851226,232,0.10617349089600715
0.00040928696992851226,281,0.10203268124540203
0.00040928696992851226,340,0.0735903238064961
0.00040928696992851226,412,0.05633959197953931
0.00040928696992851226,499,0.04657075390352051
0.0007071067811865475,5,0.03507804510488838
0.0007071067811865475,6,0.03454157470146974
0.0007071067811865475,7,0.040558009824800116
0.0007071067811865475,8,0.039240683283576876
