tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale
550,56,10,46,33,1.393939393939394,37,9,66.07142857142857,16.071428571428573,66.07142857142857,29.654017857142744,-0.0018216063951821404,-0.014221183307840002,0.13145728276885568,0.14567846607669568,0.0,0.13606129459383262,0.13423968819865048,0.13606129459383262,0,700,250,100,0.005,,0.05
600,55,10,45,33,1.3636363636363635,36,9,65.45454545454545,16.363636363636363,65.45454545454545,38.30045454545438,-0.0004655122044756044,-0.012035135727071905,0.1392482781215589,0.1512834138486308,0.0,0.14212081747144892,0.1416553052669733,0.14212081747144892,0,700,250,100,0.005,,0.05
650,57,9,48,33,1.4545454545454546,37,11,64.91228070175438,19.29824561403509,64.91228070175438,38.89692982456121,-0.02364428826259868,-0.018283128847954452,0.12494999207541545,0.1432331209233699,0.0,0.152784164032337,0.12913987576973832,0.152784164032337,0,700,250,100,0.005,,0.05
0,100,63,37,13,2.8461538461538463,37,0,37.0,0.0,73.0,0.14175000000000001,-0.10595238095238091,0.07500000000000001,0.07500000000000001,0.0,0.175,0.1888888888888889,0.07500000000000001,0.18095238095238092,1,700,250,100,0.005,,0.05
50,100,48,52,18,2.888888888888889,47,5,47.0,5.0,73.0,7.183749999999998,-0.08068203242835593,-0.08062161034626619,0.0943783896537338,0.175,0.17499999999999996,0.19204545454545444,0.10213046757164403,0.18281249999999996,1,700,250,100,0.005,,0.05
100,107,48,59,21,2.8095238095238093,54,5,50.467289719626166,4.672897196261682,74.76635514018692,13.364953271028051,-0.08577860169491522,-0.0851851851851854,0.08981481481481492,0.17500000000000032,0.17500000000000038,0.19204545454545438,0.09703389830508491,0.18281250000000013,1,700,250,100,0.005,,0.05
150,111,48,63,26,2.423076923076923,58,5,52.252252252252255,4.504504504504505,75.67567567567568,19.66824324324327,-0.07138077499211604,-0.06904829869833326,0.1059517013016672,0.17500000000000046,0.17500000000000046,0.19204545454545432,0.11143172500788415,0.18281250000000018,1,700,250,100,0.005,,0.05
200,126,46,80,35,2.2857142857142856,68,12,53.96825396825397,9.523809523809524,74.60317460317461,22.604166666666696,-0.06505103558295486,-0.03309372256365235,0.1070804067895816,0.14017412935323395,0.17500000000000016,0.17981965174129363,0.11204446517412947,0.17709550075708433,1,700,250,100,0.005,,0.05
250,134,46,88,41,2.1463414634146343,76,12,56.71641791044776,8.955223880597014,76.11940298507463,28.634701492537307,-0.05290910789574835,-0.025147913220412738,0.12196364056444786,0.1471115537848606,0.17499999999999963,0.18259462151394482,0.1253929014581405,0.17830200935388885,1,700,250,100,0.005,,0.05
300,155,46,109,50,2.18,97,12,62.58064516129032,7.741935483870968,79.35483870967742,31.90354838709674,-0.051023370774456095,-0.026586866801383724,0.12515731924512782,0.15174418604651155,0.17499999999999918,0.1844476744186055,0.12808431375537194,0.17910768452982803,1,700,250,100,0.005,,0.05
