tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period
100,24,14,10,3,3.3333333333333335,10,0,41.666666666666664,0.0,79.16666666666667,20.57291666666669,0.14642857142857138,0.3250000000000002,0.3250000000000002,0.0,0.17500000000000032,0.18500000000000005,0.3250000000000002,0.1785714285714288,3,500,250,20,0.005,
150,32,14,18,5,3.6,18,0,56.25,0.0,84.375,27.676562500000017,0.16309523809523782,0.3416666666666667,0.3416666666666667,0.0,0.17500000000000046,0.1850000000000001,0.3416666666666667,0.17857142857142885,3,500,250,20,0.005,
200,45,15,30,8,3.75,30,0,66.66666666666667,0.0,86.66666666666667,30.253888888888884,0.1809535655058042,0.35000000000000003,0.35000000000000003,0.0,0.1750000000000002,0.1601160862354893,0.35000000000000003,0.16904643449419585,3,500,250,20,0.005,
250,65,15,50,13,3.8461538461538463,49,1,75.38461538461539,1.5384615384615385,89.23076923076923,33.9288461538461,0.16910358565737044,0.16836734693877548,0.34336734693877535,0.17499999999999988,0.1749999999999996,0.16474103585657415,0.33999999999999986,0.17089641434262942,3,500,250,20,0.005,
300,89,15,74,19,3.8947368421052633,72,2,80.89887640449439,2.247191011235955,91.01123595505618,38.33567415730329,0.16570605489210138,0.12239583333333293,0.34114583333333304,0.2187500000000001,0.17499999999999918,0.16782945736434174,0.33783783783783755,0.17213178294573617,3,500,250,20,0.005,
350,138,12,126,34,3.7058823529411766,119,7,86.23188405797102,5.072463768115942,92.7536231884058,37.24130434782599,0.15614006864006888,0.1661594367476715,0.3445378151260499,0.17837837837837842,0.1749999999999989,0.19166666666666754,0.33530673530673494,0.17916666666666606,3,500,250,20,0.005,
400,206,11,195,51,3.823529411764706,185,10,89.80582524271844,4.854368932038835,93.68932038834951,38.67524271844651,0.15225538938166983,0.14815259208321066,0.33939841275190374,0.19124582066869308,0.17499999999999868,0.19166666666666773,0.3318008439271237,0.1795454545454539,3,500,250,20,0.005,
450,334,10,324,83,3.9036144578313254,312,11,93.41317365269461,3.2934131736526946,95.50898203592814,37.20142215568855,0.15530486824476905,0.14076670597158944,0.34009878083203615,0.1993320748604467,0.17499999999999852,0.1916666666666679,0.3353048682447684,0.17999999999999935,3,500,250,20,0.005,
0,20,12,8,4,2.0,8,0,40.0,0.0,70.0,0.25249999999999995,0.1833333333333333,0.3625,0.3625,0.0,0.17500000000000002,0.18333333333333335,0.3625,0.1791666666666667,4,500,250,20,0.005,
50,22,12,10,5,2.0,10,0,45.45454545454545,0.0,72.72727272727273,14.565909090909093,0.2958333333333333,0.475,0.475,0.0,0.17500000000000002,0.18333333333333332,0.475,0.17916666666666667,4,500,250,20,0.005,
100,26,12,14,7,2.0,13,1,50.0,3.8461538461538463,73.07692307692308,28.134615384615383,0.3172619047619043,0.3461538461538458,0.5211538461538459,0.17500000000000002,0.1750000000000003,0.18333333333333343,0.49642857142857116,0.17916666666666684,4,500,250,20,0.005,
150,32,12,20,10,2.0,19,1,59.375,3.125,78.125,39.07187499999999,0.4199404761904758,0.4464285714285713,0.6214285714285713,0.17500000000000007,0.17500000000000046,0.1833333333333335,0.5991071428571428,0.179166666666667,4,500,250,20,0.005,
200,41,11,30,16,1.875,27,3,65.85365853658537,7.317073170731708,80.48780487804878,45.642682926829295,0.3973908864767072,0.43252487562189046,0.6075248756218905,0.17500000000000004,0.17500000000000024,0.15713930348258717,0.5642723880597015,0.16688150158299428,4,500,250,20,0.005,
250,49,11,38,20,1.9,35,3,71.42857142857143,6.122448979591836,83.6734693877551,58.73265306122452,0.41308877761266155,0.4424209486166004,0.6174209486166008,0.17500000000000035,0.1749999999999996,0.16268924302788892,0.5824929789889745,0.1694042013763129,4,500,250,20,0.005,
300,67,11,56,29,1.9310344827586208,53,3,79.1044776119403,4.477611940298507,88.05970149253731,64.8529850746269,0.40671608697370537,0.42560515823365486,0.6006051582336552,0.17500000000000035,0.17499999999999918,0.16639534883720997,0.5778048818997095,0.1710887949260041,4,500,250,20,0.005,
350,84,12,72,37,1.945945945945946,69,3,82.14285714285714,3.5714285714285716,89.28571428571429,73.84166666666673,0.4366953515993951,0.44700970424972863,0.6220097042497287,0.17500000000000007,0.1749999999999989,0.1583778966131912,0.6033842999059902,0.16668894830659506,4,500,250,20,0.005,
400,118,12,106,54,1.962962962962963,103,3,87.28813559322033,2.542372881355932,92.37288135593221,73.86228813559332,0.42912521467600684,0.4357799889294708,0.6107799889294703,0.17499999999999952,0.17499999999999868,0.16364275668073205,0.5984465930163722,0.16932137834036534,4,500,250,20,0.005,
