mutation_rate,task_flip_period,multicellular_pct
1.778279410038923e-05,1,0.4300680017727922
1.778279410038923e-05,2,0.4254103311754401
1.778279410038923e-05,3,0.4354241887503691
1.778279410038923e-05,4,0.4398510795303829
1.778279410038923e-05,6,0.4328286243362953
1.778279410038923e-05,7,0.4291795098078313
1.778279410038923e-05,10,0.4364618263351146
1.778279410038923e-05,13,0.4821833089115202
1.778279410038923e-05,17,0.5138885010935828
1.778279410038923e-05,22,0.5259279164252203
1.778279410038923e-05,28,0.5416897435404734
1.778279410038923e-05,37,0.5886764910573227
1.778279410038923e-05,48,0.5782321104633411
1.778279410038923e-05,62,0.5726923541308219
1.778279410038923e-05,81,0.5915276440175381
1.778279410038923e-05,105,0.5655251899248229
1.778279410038923e-05,136,0.5848515822130599
1.778279410038923e-05,177,0.5920246766829875
1.778279410038923e-05,229,0.5490883720096951
1.778279410038923e-05,297,0.5897215545741701
1.778279410038923e-05,385,0.5712095267745952
1.778279410038923e-05,499,0.5806005671674653
3.1622776601683795e-05,1,0.43151249683385334
3.1622776601683795e-05,2,0.42813491556325145
3.1622776601683795e-05,3,0.4357235528942116
3.1622776601683795e-05,4,0.42934282723257344
3.1622776601683795e-05,6,0.42901041568494397
3.1622776601683795e-05,7,0.418184855988551
3.1622776601683795e-05,10,0.4430128680927403
3.1622776601683795e-05,13,0.46104483212135605
3.1622776601683795e-05,17,0.5030145949881936
3.1622776601683795e-05,22,0.5036525992007702
3.1622776601683795e-05,28,0.532326137661295
3.1622776601683795e-05,37,0.5562674486606812
3.1622776601683795e-05,48,0.5614188914431469
3.1622776601683795e-05,62,0.5646306719477451
3.1622776601683795e-05,81,0.573335162668496
3.1622776601683795e-05,105,0.5716114650189993
3.1622776601683795e-05,136,0.565246190860178
3.1622776601683795e-05,177,0.5759995407137662
3.1622776601683795e-05,229,0.5576784903790893
3.1622776601683795e-05,297,0.5856246365340998
3.1622776601683795e-05,385,0.5645573289304715
3.1622776601683795e-05,499,0.569013407341311
5.623413251903491e-05,1,0.43486953448429366
5.623413251903491e-05,2,0.4281336513206315
5.623413251903491e-05,3,0.42788509418502096
5.623413251903491e-05,4,0.4263996794766025
5.623413251903491e-05,6,0.418125249192983
5.623413251903491e-05,7,0.4383832317052178
5.623413251903491e-05,10,0.43801193121844245
5.623413251903491e-05,13,0.46721438033602153
5.623413251903491e-05,17,0.4991947363552427
5.623413251903491e-05,22,0.5342647406729183
5.623413251903491e-05,28,0.539660234104014
5.623413251903491e-05,37,0.5364071772654925
5.623413251903491e-05,48,0.5626048922919314
5.623413251903491e-05,62,0.5564290061895807
5.623413251903491e-05,81,0.5819109887370025
5.623413251903491e-05,105,0.5481104586502958
5.623413251903491e-05,136,0.5525840303243919
