tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
200,156,66,90,21,4.285714285714286,65,25,41.666666666666664,16.025641025641026,55.76923076923077,357.3216666666669,1.8088893148910576,4.002212199175891,4.387796104266545,0.38558390509065454,1.5651560827724575,1.4181937263537157,3.2760704933843536,1.467181178493296,4,500,250,100,0.005,,,,0.0
250,218,73,145,35,4.142857142857143,108,37,49.54128440366973,16.972477064220183,60.091743119266056,407.78376802097034,1.9224589590098213,4.622771061384948,4.966427356061462,0.34365629467651326,2.1286232266419507,1.742805846226201,3.786823705914957,1.8643647469051359,4,500,250,100,0.005,,,,0.0
300,257,101,156,36,4.333333333333333,115,41,44.747081712062254,15.95330739299611,60.311284046692606,477.29228182323567,1.9383675457720622,4.3644065659211,4.673883014149967,0.3094764482288675,1.8146225917095122,1.440156489913373,3.526827442337371,1.588459896565309,4,500,250,100,0.005,,,,0.0
350,369,126,243,60,4.05,197,45,53.387533875338754,12.195121951219512,65.04065040650407,492.31816105303943,2.4552482171072154,4.858146621159592,5.254194061403476,0.39604744024388416,2.346964224819213,1.6617173961385043,4.350819689700248,1.8955714725930322,4,500,250,100,0.005,,,,0.0
400,433,158,275,64,4.296875,208,67,48.03695150115473,15.473441108545035,62.35565819861432,563.3981403277251,2.2372575309008793,4.663225855644753,4.951691761520814,0.2884659058760605,1.7542195254508266,1.464689981198644,3.815560371236456,1.5783028403355766,4,500,250,100,0.005,,,,0.0
450,654,211,443,110,4.027272727272727,351,92,53.669724770642205,14.067278287461773,64.6788990825688,517.2519859472843,2.200331814405673,4.580611646294686,5.026875302083186,0.4462636557884996,1.7068117376664502,1.962521703902409,4.075597036938466,1.8752652225327926,4,500,250,100,0.005,,,,0.0
0,100,53,47,16,2.9375,41,6,41.0,6.0,67.0,2.6860000000000004,2.685186672019271,1.4262195121951224,4.291219512195123,2.865,1.3361538461538465,1.508518518518519,4.1091489361702145,1.423962264150943,0,500,250,100,0.005,,,,0.1
50,86,30,56,17,3.2941176470588234,44,12,51.16279069767442,13.953488372093023,63.95348837209303,167.49813953488376,2.0042483660130723,2.566042780748663,4.636925133689839,2.0708823529411764,2.1343850267379683,2.0529514963880295,4.0870588235294125,2.08281045751634,0,500,250,100,0.005,,,,0.1
100,123,46,77,22,3.5,57,20,46.34146341463415,16.260162601626018,59.34959349593496,226.20756097560977,1.0917445455856192,2.3673727198018346,3.530923347973895,1.1635506281720607,1.9466955445544567,1.7589867986798693,2.916021342830562,1.8242767972449427,0,500,250,100,0.005,,,,0.1
150,155,50,105,30,3.5,77,28,49.67741935483871,18.06451612903226,59.354838709677416,327.426322580645,1.8024456833900722,4.276881072026489,4.957071442319252,0.6801903702927634,1.7983106090118184,2.106615652883672,3.816569823112188,2.014124139722116,0,500,250,100,0.005,,,,0.1
200,195,68,127,36,3.5277777777777777,92,35,47.17948717948718,17.94871794871795,57.43589743589744,379.0743247863245,1.4821198933674793,3.6012902795590223,4.104000349602866,0.5027100700438437,1.5083362366087376,1.679841652511833,3.111518776496049,1.6293988831285697,0,500,250,100,0.005,,,,0.1
250,250,76,174,52,3.3461538461538463,137,37,54.8,14.8,64.0,416.101533333333,1.6144555681462283,3.7871366288681023,4.2947775843140015,0.5076409554458992,1.8036234045428443,1.9059910297598206,3.4894669218535435,1.8750113537073152,0,500,250,100,0.005,,,,0.1
300,269,95,174,51,3.411764705882353,134,40,49.814126394052046,14.869888475836431,59.85130111524163,501.7469640644358,1.7998413623574847,3.893241327566164,4.264235232588345,0.3709939050221809,1.5438536918880117,1.5795376086608186,3.369237226251295,1.5693958638938104,0,500,250,100,0.005,,,,0.1
350,395,121,274,88,3.1136363636363638,233,41,58.9873417721519,10.379746835443038,68.60759493670886,484.0934514767929,1.9598445452595747,4.120031000003189,4.518254823301588,0.3982238232983992,1.7887255492786063,2.012041603557306,3.901753834250016,1.9419092889904412,0,500,250,100,0.005,,,,0.1
400,429,145,284,90,3.1555555555555554,238,46,55.47785547785548,10.722610722610723,65.5011655011655,585.7514996114991,1.9797882055599707,3.954440775951962,4.3349970431579665,0.3805562672060045,1.6598726238601542,1.7378146739196907,3.694489030151661,1.7147008245916904,0,500,250,100,0.005,,,,0.1
450,677,179,498,166,3.0,433,65,63.95864106351551,9.601181683899556,72.08271787296898,518.7045544066956,1.9851831671306364,4.007283973209976,4.424898169483865,0.41761419627388946,1.8942225684504361,1.9266350816429592,3.9018590966753344,1.916675929544698,0,500,250,100,0.005,,,,0.1
0,100,52,48,17,2.823529411764706,42,6,42.0,6.0,59.0,2.7190000000000003,2.320032051282052,2.092857142857143,4.18702380952381,2.0941666666666667,2.048823529411765,1.3900000000000003,3.925416666666667,1.6053846153846152,1,500,250,100,0.005,,,,0.1
50,79,24,55,16,3.4375,45,10,56.962025316455694,12.658227848101266,62.0253164556962,165.11784810126588,1.5480748663101611,3.0993355119825727,4.312374727668847,1.2130392156862744,2.0831372549019616,2.224313725490197,3.748859180035652,2.200784313725491,1,500,250,100,0.005,,,,0.1
100,118,38,80,23,3.4782608695652173,61,19,51.69491525423729,16.10169491525424,55.08474576271186,211.65542372881353,1.3257454320315913,3.204343305847612,3.764653465346534,0.5603101594989219,1.789504950495052,1.6647437390797915,3.003621930207726,1.6778764981761345,1,500,250,100,0.005,,,,0.1
150,148,40,108,29,3.7241379310344827,80,28,54.054054054054056,18.91891891891892,56.75675675675676,301.36332770270246,0.8898238385296025,3.650508488469651,4.043444018150017,0.3929355296803659,1.0198013245033137,2.339124356144225,3.0970158915097366,2.207192052980134,1,500,250,100,0.005,,,,0.1
200,181,44,137,38,3.6052631578947367,100,37,55.248618784530386,20.441988950276244,57.4585635359116,352.60039265982607,0.7928626234644147,3.3624828035510825,3.6830613751500154,0.32057857159893266,0.950199004975127,2.0852713533308886,2.774945581490234,1.9820829580258192,1,500,250,100,0.005,,,,0.1
250,244,56,188,51,3.6862745098039214,138,50,56.557377049180324,20.491803278688526,59.42622950819672,398.58131001170915,1.31283343886464,4.134412223209641,4.388435754836459,0.25402353162681857,0.9170904719315178,2.1273009006190238,3.2888580358977255,1.9760245970330854,1,500,250,100,0.005,,,,0.1
