tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha,coop_cost
200,179,64,115,37,3.108108108108108,89,22,49.720670391061454,12.29050279329609,70.94972067039106,25.520297951582876,0.05451119220216777,0.050532995477531456,0.2255329954775316,0.17500000000000016,0.17822197688654876,0.13584481438959045,0.21551744682432722,0.16100625462215945,1,500,250,100,0.1,,,,
250,215,68,147,47,3.127659574468085,116,26,53.95348837209303,12.093023255813954,73.48837209302326,29.63812403100773,0.040634143319078525,0.03842495654714512,0.21342495654714513,0.17500000000000002,0.17766417569699047,0.14651777505363156,0.20638940112302004,0.1657552578039415,1,500,250,100,0.1,,,,
300,238,66,172,60,2.8666666666666667,135,31,56.72268907563025,13.025210084033613,72.26890756302521,35.15009803921564,0.035865086776971894,0.03416659775390635,0.20916659775390625,0.1749999999999999,0.18621734945865828,0.14230152365677634,0.20278608853480326,0.16692100175783137,1,500,250,100,0.1,,,,
350,284,69,215,80,2.6875,164,43,57.74647887323944,15.140845070422536,70.4225352112676,36.38626173708915,0.02712334369352487,0.04466165954930121,0.20534363285770124,0.16068197330840003,0.19283413892820134,0.14287940901130108,0.19606609005277395,0.16894274635924908,1,500,250,100,0.1,,,,
400,337,53,284,98,2.8979591836734695,212,62,62.9080118694362,18.397626112759642,71.21661721068249,39.19959940652814,0.018457525348217013,0.039030069478287965,0.20007880733889022,0.16104873786060225,0.19003453014701446,0.1534754063467164,0.19124718577810976,0.17278966042989274,1,500,250,100,0.1,,,,
450,397,46,351,124,2.8306451612903225,266,75,67.00251889168766,18.89168765743073,70.7808564231738,41.28588161209062,0.03504721424673729,0.030853608082617556,0.19458869115716115,0.1637350830745436,0.15936076995902032,0.14955939084206693,0.18780270697476728,0.15275549272803,1,500,250,100,0.1,,,,
0,100,55,45,15,3.0,44,1,44.0,1.0,70.0,0.21775000000000003,0.03944444444444456,0.065909090909091,0.24090909090909102,0.17500000000000002,0.20961538461538462,0.19137931034482758,0.23944444444444457,0.2,2,500,250,100,0.1,,,,
50,93,46,47,16,2.9375,44,3,47.31182795698925,3.225806451612903,67.74193548387096,10.614426523297489,0.02267908859504328,0.04736705288175874,0.2223670528817587,0.17499999999999996,0.20245098039215692,0.19259259259259254,0.21934362397441243,0.19666453537936915,2,500,250,100,0.1,,,,
100,117,45,72,25,2.88,66,6,56.41025641025641,5.128205128205129,71.7948717948718,17.29052706552707,0.009153488265493281,0.029373562356235505,0.20437356235623563,0.17500000000000013,0.19304180418041825,0.1925925925925924,0.201925765493216,0.19277227722772272,2,500,250,100,0.1,,,,
150,152,48,104,35,2.9714285714285715,96,7,63.1578947368421,4.605263157894737,75.65789473684211,21.51853070175439,0.019904213855541614,0.029408358956165004,0.20440835895616527,0.17500000000000027,0.17740501917044305,0.1858472253939254,0.20240973261933856,0.18250551876379695,2,500,250,100,0.1,,,,
200,200,53,147,52,2.826923076923077,121,22,60.5,11.0,70.0,23.29545833333334,0.01720126619130738,0.023144819089681468,0.18548086612722112,0.16233604703753965,0.17471196648337267,0.15913447468539654,0.18192012472880864,0.16471885853750126,2,500,250,100,0.1,,,,
250,253,51,202,73,2.767123287671233,163,32,64.42687747035573,12.648221343873518,71.14624505928853,26.46781949934124,0.01283323738370365,0.011745298204597993,0.17977318665081324,0.16802788844621525,0.16370991649290187,0.16566381532692784,0.1778457530992895,0.16501251571558584,2,500,250,100,0.1,,,,
300,321,51,270,94,2.872340425531915,209,48,65.10903426791278,14.953271028037383,70.09345794392523,28.161292834890965,0.012663220478556891,0.014060127164994551,0.1851841581727466,0.17112403100775206,0.17245011656576936,0.16872683265585267,0.1825581422041873,0.16989492172563042,2,500,250,100,0.1,,,,
350,389,46,343,125,2.744,263,65,67.60925449871465,16.709511568123393,71.46529562982005,30.55006426735219,-0.003643602323139178,0.007883417927749381,0.1723599826867259,0.1644765647589765,0.1728248277096403,0.17522349711776586,0.17079771998762924,0.17444132231076842,2,500,250,100,0.1,,,,
400,469,41,428,151,2.834437086092715,321,86,68.44349680170576,18.33688699360341,70.78891257995735,33.350692963752664,-0.004797272492775784,0.009010302233501216,0.17138273690129852,0.1623724346677973,0.17550702968408585,0.1738247763462686,0.16947884011485848,0.17427611260763426,2,500,250,100,0.1,,,,
450,548,35,513,180,2.85,384,101,70.07299270072993,18.43065693430657,70.8029197080292,36.477904501216535,0.0020735109108044603,0.007381813299069895,0.17592765388017084,0.16854584058110095,0.1758869179600872,0.1718562518157774,0.17439041028593155,0.1723168993751271,2,500,250,100,0.1,,,,
0,100,58,42,14,3.0,41,1,41.0,1.0,68.0,0.19900000000000007,0.009934318555008315,0.030487804878048863,0.20548780487804888,0.17500000000000002,0.2046296296296296,0.1862903225806452,0.20476190476190487,0.19482758620689655,0,500,250,100,0.2,,,,
50,110,49,61,21,2.9047619047619047,47,11,42.72727272727273,10.0,61.81818181818182,9.670227272727267,0.021680396296449633,0.060951188986232946,0.23595118898623293,0.175,0.2229925303454716,0.18749999999999997,0.22439148073022316,0.20271108443377353,0,500,250,100,0.2,,,,
100,124,51,73,26,2.8076923076923075,52,17,41.935483870967744,13.709677419354838,60.483870967741936,17.574260752688186,0.03750270807131881,0.06018976897689776,0.23518976897689786,0.1750000000000001,0.17720619888075778,0.18749999999999994,0.22036040560577816,0.18285769753445935,0,500,250,100,0.2,,,,
150,153,54,99,35,2.8285714285714287,65,29,42.48366013071895,18.954248366013072,56.86274509803921,21.715904139433565,0.029893462051739678,0.03792962507244868,0.2129296250724488,0.17500000000000013,0.17926287472645117,0.16588369205298012,0.20122793223094868,0.171334470179209,0,500,250,100,0.2,,,,
200,187,66,121,44,2.75,76,39,40.64171122994652,20.855614973262032,52.94117647058823,23.96568627450982,0.041062746758894014,0.04040619272060744,0.20469054021391037,0.16428434749330292,0.17495191690772374,0.13653823903737133,0.1909875705086609,0.14992482374976687,0,500,250,100,0.2,,,,
250,208,70,138,52,2.6538461538461537,87,44,41.82692307692308,21.153846153846153,51.92307692307692,29.92203525641026,0.03935819227226264,0.03407282240787174,0.20146688253101572,0.16739406012314398,0.15323434225408294,0.14956297259939844,0.19002257576806642,0.15066438349580377,0,500,250,100,0.2,,,,
300,232,72,160,60,2.6666666666666665,101,49,43.53448275862069,21.120689655172413,52.58620689655172,35.270941091954015,0.02291969303012248,0.024316688360798533,0.19362138698443412,0.1693046986236356,0.17295074035655697,0.15856133150934815,0.18567793545323988,0.1627582424231174,0,500,250,100,0.2,,,,
350,271,79,192,75,2.56,119,60,43.91143911439114,22.14022140221402,50.92250922509225,36.081857318573164,0.02395864979679968,0.02772555268670901,0.19345615652592701,0.165730603839218,0.1761424958915943,0.15515684305347074,0.18416267517842674,0.16020402538162706,0,500,250,100,0.2,,,,
400,303,68,235,94,2.5,141,79,46.53465346534654,26.072607260726073,51.15511551155115,40.59507700770072,0.010420754418800582,0.021203535848453386,0.1857613877019158,0.16455785185346242,0.17072383151752762,0.16694958571241808,0.17814739073815297,0.1677266363193524,0,500,250,100,0.2,,,,
450,328,65,263,104,2.5288461538461537,158,89,48.170731707317074,27.134146341463413,52.13414634146341,45.902388211382046,-6.13217428475088e-05,0.020055657060415122,0.183224272623892,0.16316861556347687,0.17689134966560957,0.17585099016562042,0.17599774032277077,0.17605906206561828,0,500,250,100,0.2,,,,
0,100,62,38,13,2.923076923076923,37,1,37.0,1.0,74.0,0.17925000000000002,-0.033382852292020454,-0.016891891891891858,0.15810810810810816,0.17500000000000002,0.1966216216216216,0.185,0.1585526315789474,0.19193548387096784,1,500,250,100,0.2,,,,
50,103,49,54,20,2.7,42,10,40.77669902912621,9.70873786407767,68.93203883495146,9.69611650485437,0.014363822452057806,0.08626050420168072,0.2262605042016807,0.13999999999999999,0.20069303583502368,0.18749999999999992,0.20967194570135753,0.19530812324929972,1,500,250,100,0.2,,,,
100,123,50,73,27,2.7037037037037037,52,18,42.27642276422764,14.634146341463415,66.66666666666667,16.825813008130094,0.023147571900047098,0.04340886011678097,0.21840886011678104,0.17500000000000007,0.18183168316831708,0.18749999999999994,0.20724658180103736,0.18409900990099026,1,500,250,100,0.2,,,,
