tick,total_cells,lone_cells,clustered_cells,num_clusters,avg_cluster_size,cooperators,defectors,cooperator_pct,defector_pct,coop_genome_pct,mean_fitness,multi_advantage,coop_advantage,coop_rate_clustered,def_rate_clustered,coop_rate_lone,def_rate_lone,cluster_rate,lone_rate,seed,ticks,grid_size,initial_cells,mutation_rate,task_flip_period,coop_reward_scale,task_alpha
0,100,56,44,15,2.933333333333333,42,2,42.0,2.0,73.0,0.21600000000000003,0.07897727272727276,0.08928571428571433,0.26428571428571435,0.17500000000000002,0.17499999999999996,0.18899999999999997,0.2602272727272728,0.18125000000000005,2,500,250,100,0.005,,,0.01
50,113,44,69,22,3.1363636363636362,65,4,57.52212389380531,3.5398230088495577,76.10619469026548,9.366150442477876,0.04215912320132281,0.05663197586727006,0.228396681749623,0.17176470588235293,0.17499999999999996,0.1902173913043477,0.22511366865586824,0.18295454545454543,2,500,250,100,0.005,,,0.01
100,125,44,81,25,3.24,77,4,61.6,3.2,78.4,18.697000000000013,0.06139516729450728,0.07662369808409406,0.24813359907419333,0.17150990099009927,0.17500000000000032,0.19021739130434775,0.24434971274905284,0.18295454545454556,2,500,250,100,0.005,,,0.01
150,164,44,120,34,3.5294117647058822,115,5,70.1219512195122,3.048780487804878,82.92682926829268,23.858384146341482,0.0783934126028496,0.09621796717535247,0.2653570400230349,0.16913907284768243,0.1750000000000004,0.1902173913043477,0.2613479580573952,0.1829545454545456,2,500,250,100,0.005,,,0.01
200,218,45,173,47,3.6808510638297873,163,10,74.77064220183486,4.587155963302752,84.40366972477064,27.422018348623855,0.0916408324466299,0.12995183591246215,0.27264337820101947,0.14269154228855732,0.1750000000000002,0.17217039800995038,0.2651317113852702,0.1734908789386403,2,500,250,100,0.005,,,0.01
250,300,45,255,66,3.8636363636363638,243,12,81.0,4.0,88.0,30.5578333333333,0.10428977699352507,0.13139533924336522,0.2833349728657385,0.15193963362237328,0.17499999999999966,0.1709910358565742,0.2771516627836978,0.17286188579017273,2,500,250,100,0.005,,,0.01
300,427,40,387,96,4.03125,367,20,85.94847775175644,4.68384074941452,90.1639344262295,32.35573770491798,0.09239248410915471,0.126129443149747,0.27568405739854734,0.14955461424880034,0.1749999999999992,0.1782241014799162,0.26916573992310827,0.17677325581395356,2,500,250,100,0.005,,,0.01
350,649,24,625,152,4.1118421052631575,593,32,91.37134052388289,4.9306625577812015,92.44992295839754,32.09648176682069,0.0877586071525355,0.1316932194500217,0.27787895956284514,0.14618574011282345,0.1749999999999989,0.18682728410513255,0.2711362667270041,0.18337765957446858,2,500,250,100,0.005,,,0.01
400,1013,15,998,236,4.228813559322034,947,51,93.48469891411649,5.034550839091806,93.58341559723593,31.53490457387293,0.07464943721331468,0.12578880816037388,0.2794108559336022,0.15362204777322833,0.17499999999999868,0.20000000000000148,0.2729827705466493,0.19833333333333464,2,500,250,100,0.005,,,0.01
450,1574,14,1560,363,4.297520661157025,1493,67,94.85387547649302,4.256670902160102,94.85387547649302,31.485244599745815,0.07156092510686077,0.11814487543149674,0.27663509603885617,0.15849022060735943,0.0,0.2000000000000016,0.27156092510686236,0.2000000000000016,2,500,250,100,0.005,,,0.01
